Ime in priimek	Spol	Rojstvo	Smrt	Naslov	Oznaka	Letnica nastanka	Letnica vira	Letnica digitalizirane izdaje	Obdobje	Število besed	Kanoničnost 	Število ponatisov	Status	Signatura	URL	ALT URL
"Cankar, Izidor"	m	1886	1959	S poti		1913		2007	D		DA		ADD	SLV30001	http://nl.ijs.si/e-zrc/izidor/tei/spoti-2007-10-08.xml	
"Sket, Jakob"	m	1852	1912	Miklova Zala	Povest iz turških časov	1884		2015	C	"40,908"	DA		ADD	SLV20002	https://sl.wikisource.org/wiki/Miklova_Zala	http://lit.ijs.si/miklovaz.html
"Kočevar, Ferdo"	m	1833	1878	Mlinarjev Janez	Po narodni pripovedki iz srede petnajstoga stoletja	1859		2019	A	"35,936"	DELNO		ADD	SLV20001	https://sl.wikisource.org/wiki/Mlinarjev_Janez_(1859)	http://lit.ijs.si/janez1.html
"Zbašnik, Fran"	m	1855	1935	Z viharja v zavetje	Roman iz življenja preproste deklice	1900		2019	D	"101,783"	NE		ADD	SLV10032	https://sl.wikisource.org/wiki/Z_viharja_v_zavetje	
"Lah, Ivan"	m	1881	1938	Brambovci	Zgodovinski roman	1910-1911	1910-1911	2019	D	"369,223"	NE		ADD	SLV10031	https://sl.wikisource.org/wiki/Brambovci	
"Govekar, Fran"	m	1871	1949	Svitanje	Roman	1919-1921		2020	D		NE		ADD	SLV10030	https://sl.wikisource.org/wiki/Svitanje_(Fran_Govekar)	
"Kersnik, Janko"	m	1852	1897	Rošlin in Vrjanko	Povest	1889		2018	C	"38,390"	DA		ADD	SLV10029	https://sl.wikisource.org/wiki/Ro%C5%A1lin_in_Vrjanko	
"Vošnjak, Josip"	m	1834	1911	Pobratimi	Roman	1889		2019	C	"64,263"	NE		ADD	SLV10028	https://sl.wikisource.org/wiki/Pobratimi	
"Vodeb, Emil"	m	1880	1921	Libera nos a malo	Zgodovinski roman	1911		2011	D	"36,285"	NE		ADD	SLV10027	https://sl.wikisource.org/wiki/Libera_nos_a_malo	
"Tavčar, Ivan"	m	1851	1923	Visoška kronika	"Svoji ženi Frančiški, sedanji Visošci, poklanja Emil Leon. 1695."	1919		2008	D	"58,804"	DA		ADD	SLV10026	https://sl.wikisource.org/wiki/Viso%C5%A1ka_kronika	
"Stritar, Josip"	m	1836	1923	Gospod Mirodolski		1876		2013	B	"55,460"	DA		ADD	SLV10025	https://sl.wikisource.org/wiki/Gospod_Mirodolski	
"Stritar, Josip"	m	1836	1923	Sodnikovi		1875		2009	B	58.910 	DA		ADD	SLV10024	https://sl.wikisource.org/wiki/Sodnikovi	
"Stritar, Josip"	m	1836	1923	Zorin		1870		2011	B	 31.976	DA		ADD	SLV10023	https://sl.wikisource.org/wiki/Zorin	
"Prepeluh, Albin"	m	1881	1937	Mina	Roman	1910		2019	D	"20,147"	NE		ADD	SLV10022	https://sl.wikisource.org/wiki/Mina_(Albin_Prepeluh)	
"Pajk, Pavlina"	ž	1854	1901	Judita	Roman	1896		2018	C	"22,947"	NE		ADD	SLV10021	https://sl.wikisource.org/wiki/Judita_(Pavlina_Pajk)	
"Nadlišek, Marica"	ž	1867	1940	Fata morgana		1898		2018	C	"41,671"	NE		ADD	SLV10020	https://sl.wikisource.org/wiki/Fata_morgana_(Marica_Nadli%C5%A1ek_Bartol)	
